,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Alimentación,Arranque,Carrera,Ciclo,Cilindrada,Combustible,Diámetro,Disposición,Distribución,Encendido,Número de cilindros,Número de válvulas por cilindro,Par Máximo Declarado,Potencia Máxima Declarada,Refrigeración,Régimen de par máximo,Regimen de potencia máxima,Embrague,Secundaria,Tipo,Tipo de accionamiento,Material,Basculante,Delantera barra,Delantera recorrido,Delantera tipo,Trasera recorrido,Trasera tipo,Delantera,Delantera llanta,Trasera,Trasera llanta,Asistencia a la frenada,Delantero diámetro,Delantero número de discos,Delantero pinza número de pistones,Delantero tipo,Trasero diámetro,Trasero pinza número de pistones,Trasero tipo,Altura asiento,Capacidad depósito,Distancia entre ejes,Longitud total,Número de velocidades,Avance,Lanzamiento,Delantera marca,Delantero marca pinza,Delantero pinza,Trasero marca pinza,Peso en seco declarado,Trasera marca,Delantero marca bomba,Tipo de motor eléctrico,Velocidad máxima carretera,Autonomía en ciudad,Tipo de batería,Capacidad,Tiempo de carga 100% (enchufe convencional),Tiempo de carga 80% (enchufe convencional),Tiempo de carga 100% (enchufe rápido),Tiempo de carga 80% (enchufe rápido),Distancia mínima al suelo,Autonomía en carretera
0,Aprilia,SR GT 125 2022,3.999 €,A1,Scooter,2022,www.aprilia.com,Inyección electrónica,Eléctrico,"58,70 mm",Cuatro tiempos,124 cc,Gasolina sin plomo 95,"52,00 mm",Horizontal,SOHC,Electrónico CDI,1,4,12 nm,15 cv,Líquida,6.500 rpm,8.750 rpm,Automático centrífugo en seco,Correa,Monocuna,Automático,Acero,Monobrazo motor,33 mm,120 mm,Horquilla hidráulica convencional,102 mm,Dos amortiguadores hidráulicos,110/80-14,14,130/70-13,13,CBS Frenada Combinada,260 mm,1,3,Disco,220 mm,2,Disco,799 mm,9 l,1.350 mm,1.920 mm,,,,,,,,,,,,,,,,,,,,,
1,Aprilia,Tuono 660 Factory 2022,10.999 €,A,Naked,2022,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,67 nm,100 cv,Líqiudo,8.500 rpm,10.500 rpm,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable con Quick Shift Up and Down,Aluminio,Asimétrico de aluminio,41 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5 X 17",180/55-17 - 180/60-17,"5,5 X 17",ABS con asistencia en curva,320 mm,2,4,Doble disco,220 mm,2,Disco,820 mm,15 l,1.370 mm,1.995 mm,6,"104,60 mm","24,10 grados",Kayaba,Brembo,Anclaje Radial,Brembo,181 kg,,,,,,,,,,,,,
2,Aprilia,Tuareg 660 Evocative 2022,12.699 €,A,Trail,2022,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,70 nm,80 cv,Líqiudo,6.500 rpm,9.250 rpm,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable,Aluminio,Asimétrico de aluminio,43 mm,240 mm,Horquilla invertida,240 mm,Monoamortiguador,90/90-21,"2,15 x 21",150/70R18,"4,25 x 18",ABS con asistencia en curva,300 mm,2,4,Doble disco,260 mm,2,Disco,860 mm,18 l,1.525 mm,2.220 mm,6,"113,30 mm","26,70 grados",Kayaba,Brembo,Anclaje Radial,Brembo,187 kg,Kayaba,,,,,,,,,,,,
3,Aprilia,Tuareg 660 2022,11.999 €,A,Trail,2022,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,70 nm,80 cv,Líqiudo,6.500 rpm,9.250 rpm,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable,Aluminio,Asimétrico de aluminio,43 mm,240 mm,Horquilla invertida,240 mm,Monoamortiguador,90/90-21,"2,15 x 21",150/70R18,"4,25 x 18",ABS con asistencia en curva,300 mm,2,4,Doble disco,260 mm,2,Disco,860 mm,18 l,1.525 mm,2.220 mm,6,"113,30 mm","26,70 grados",Kayaba,Brembo,Anclaje Radial,Brembo,187 kg,Kayaba,,,,,,,,,,,,
4,Aprilia,RX 125 2021,3.999 €,A1,Naked,2021,http://www.aprilia.com/es_ES/,Inyección Electrónica,Eléctrico,"47,00 mm",Cuatro tiempos,124 cc,Gasolina sin plomo 95,"58,00 mm",Vertical,DOHC,Electrónico Magneti Marelli MIUG4,1,4,11 nm,15 cv,Líquida,8.000 rpm,10.000 rpm,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Acero,Doble brazo,41 mm,240 mm,Horquilla invertida,210 mm,Monoamortiguador,90/90-21,"1,85 X 21",120/80-18,"2,15 X 18",ABS,260 mm,1,2,Disco,220 mm,1,Disco,880 mm,7 l,1.425 mm,2.075 mm,6,,,,,,,134 kg,,,,,,,,,,,,,
5,Aprilia,SX 125 2021,3.999 €,A1,Naked,2021,http://www.aprilia.com/es_ES/,Inyección Electrónica,Eléctrico,"47,00 mm",Cuatro tiempos,124 cc,Gasolina sin plomo 95,"58,00 mm",Vertical,DOHC,Electrónico Magneti Marelli MIUG4,1,4,11 nm,15 cv,Líquida,8.000 rpm,10.000 rpm,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Acero,Doble brazo,41 mm,240 mm,Horquilla invertida,210 mm,Monoamortiguador,100/80-17,"2,5 X 17",130/70-17,"3,5 X 17",ABS,300 mm,1,2,Disco,220 mm,1,Disco,880 mm,7 l,1.425 mm,2.075 mm,6,,,,,,,134 kg,,,,,,,,,,,,,
6,Aprilia,SXR 50 2021,2.270 €,AM,Scooter,2021,http://www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"41,00 mm",Cuatro tiemos,50 cc,Gasolina sin plomo 95,"39,00 mm",Horizontal,SOHC,Electrónico CDI,1,3,3 nm,3 cv,Aire forzado,6.250 rpm,7.000 rpm,Centrífugo automático,Correa CVT,Simple cuna,Automático,Acero,Motor,,76 mm,Horquilla telescópica convencional,,Doble amortiguador,120/70-12,12,120/70-12,12,,220 mm,1,2,Disco,140 mm,,Tambor,775 mm,7 l,1.360 mm,1.960 mm,,,,,,,,100 kg,,,,,,,,,,,,,
7,Aprilia,RS 125 2021,5.249 €,A1,Deportiva,2021,http://www.aprilia.com/es_ES/,Inyección electrónica Magneti Marelli MIUG4,Eléctrico,"47,00 mm",Cuatro tiempos,124 cc,Gasolina Sin Plomo 95,"58,00 mm",Monocilíndrico,DOHC,Electrónico CDI,1,4,11 nm,15 cv,Líquida,8.000 rpm,10.000 rpm,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Aluminio,Doble brazo asimétrico,40 mm,110 mm,Horquilla invertida,120 mm,Monoamortiguador,100/80 17,"17x2,75",140/70 17,"17x3,5",ABS,300 mm,,4,Disco,218 mm,1,Disco,820 mm,14 l,1.350 mm,1.698 mm,6,,,,,De anclaje radial,,144 kg,,,,,,,,,,,,,
8,Aprilia,Tuono 125 2021,4.999 €,A1,Naked,2021,http://www.aprilia.com/es_ES/,Inyección electrónica Magneti Marelli MIUG4,Eléctrico,"47,00 mm",Cuatro tiempos,124 cc,Gasolina Sin Plomo 95,"58,00 mm",Monocilíndrico,DOHC,Electrónico CDI,1,4,11 nm,15 cv,Líquida,8.000 rpm,10.000 rpm,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Aluminio,Doble brazo asimétrico,40 mm,110 mm,Horquilla invertida,120 mm,Monoamortiguador,100/80 17,"17x2,75",140/70 17,"17x3,5",ABS,300 mm,,4,Disco,218 mm,1,Disco,820 mm,14 l,1.350 mm,1.698 mm,6,,,,,De anclaje radial,,144 kg,,,,,,,,,,,,,
9,Aprilia,Tuono V4 Factory 2021,18.999 €,A,Deportiva,2021,www.aprilia.com/es_ES,Inyección electrónica,Eléctrico,"52,30 mm",Cuatro tiempos,1.077 cc,Gasolina sin plomo 95/98,"81,00 mm",V4 a 65 grados longitudinal,DOHC Doble arbol de levas,Electrónico,4,4,121 nm,175 cv,Líquida,9.000 rpm,11.000 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Doble viga,Manual con sistena electrónico Aprilia Quick Shift,Aluminio,Doble brazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5x17",200/55-17,"6,00x17",ABS Bosch 9.1 ajustable con 3 mapas y con asistencia en curva,330 mm,2,4,Disco,220 mm,2,Disco,825 mm,18 l,1.450 mm,2.070 mm,6,"99,70 mm","24,70 grados",Ohlins Smart EC 2.0,Brembo M50,Monobloque radial,Brembo,209 kg,Ohlins,Brembo,,,,,,,,,,,
10,Aprilia,RSV 4 1100 Factory 2021,26.999 €,A,Deportiva,2021,www.aprilia.com,Inyección electrónica con 4 cuerpos de mariposas con 8 inyectores y mando Ride by Wire,Eléctrico,"52,30 mm",Cuatro Tiempos,1.077 cc,Gasolina sin plomo 95/98,"81,00 mm",En V a 65º,DOHC,Electrónico digital,4,4,122 nm,217 cv,Líquida,11.000 rpm,13.200 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena de retenes,Doble viga,Hidraúlico,Aluminio,Doble brazo en aluminio,43 mm,125 mm,Horquilla invertida,120 mm,Monoamortiguador,120/70-17,"3,50x17",200/55-17,6x17,ABS Bosh con asistencia en curva,330 mm,2,4,Disco,220 mm,2,Disco,851 mm,18 l,1.439 mm,2.052 mm,6,"103,80 mm","24,50 grados",Ohlins NIX,Brembo Stylema,Radial,Brembo,199 kg,Ohlins TTX con Piggy-Back,Brembo,,,,,,,,,,,
11,Aprilia,Tuono 660 A2 2021,10.850 €,A2,Naked,2021,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,,47 cv,Líqiudo,,,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable con Quick Shift Up and Down,Aluminio,Asimétrico de aluminio,41 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5 X 17",180/55-17 - 180/60-17,"5,5 X 17",ABS con asistencia en curva,320 mm,2,4,Doble disco,220 mm,2,Disco,820 mm,15 l,1.370 mm,1.995 mm,6,"104,60 mm","24,10 grados",Kayaba,Brembo,Anclaje Radial,Brembo,183 kg,,,,,,,,,,,,,
12,Aprilia,Tuono 660 2021,10.850 €,A,Naked,2021,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,67 nm,100 cv,Líqiudo,8.500 rpm,10.500 rpm,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable con Quick Shift Up and Down,Aluminio,Asimétrico de aluminio,41 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5 X 17",180/55-17 - 180/60-17,"5,5 X 17",ABS con asistencia en curva,320 mm,2,4,Doble disco,220 mm,2,Disco,820 mm,15 l,1.370 mm,1.995 mm,6,"104,60 mm","24,10 grados",Kayaba,Brembo,Anclaje Radial,Brembo,183 kg,,,,,,,,,,,,,
13,Aprilia,RS 660 A2 2021,11.350 €,A2,Deportiva,2021,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,,47 cv,Líqiudo,,,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable con Quick Shift Up and Down,Aluminio,Asimétrico de aluminio,41 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5 X 17",180/55-17 - 180/60-17,"5,5 X 17",ABS con asistencia en curva,320 mm,2,4,Doble disco,220 mm,2,Disco,820 mm,15 l,1.370 mm,1.995 mm,6,"104,60 mm","24,10 grados",Kayaba,Brembo,Anclaje Radial,Brembo,183 kg,,,,,,,,,,,,,
14,Aprilia,RS 660 2021,11.350 €,A,Deportiva,2021,www.aprilia.com/es_ES/,Inyección electrónica,Eléctrico,"63,93 mm",Cuatro tiempos,659 cc,Gasolina sin plomo 95,"81,00 mm",En paralelo,DOHC,Electrónico,2,4,67 nm,100 cv,Líqiudo,8.500 rpm,10.500 rpm,"Multidisco en baño de aceie, antirrebote",Cadena,Doble viga con subchasis trasero desmontable,Mecánico por cable con Quick Shift Up and Down,Aluminio,Asimétrico de aluminio,41 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5 X 17",180/55-17 - 180/60-17,"5,5 X 17",ABS con asistencia en curva,320 mm,2,4,Doble disco,220 mm,2,Disco,820 mm,15 l,1.370 mm,1.995 mm,6,"104,60 mm","24,10 grados",Kayaba,Brembo,Anclaje Radial,Brembo,183 kg,,,,,,,,,,,,,
15,Aprilia,Tuono V4 1100 RR 2019,16.594 €,A,Deportiva,2019,www.aprilia.com/es_ES,Inyección electrónica,Eléctrico,"52,30 mm",Cuatro tiempos,1.077 cc,Gasolina sin plomo 95/98,"81,00 mm",V4 a 65 grados longitudinal,DOHC Doble arbol de levas,Electrónico,4,4,121 nm,175 cv,Líquida,9.000 rpm,11.000 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Doble viga,Manual con sistena electrónico Aprilia Quick Shift,Aluminio,Doble brazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5x17",200/55-17,"6,00x17",ABS Bosch 9.1 ajustable con 3 mapas y con asistencia en curva,330 mm,2,4,Disco,220 mm,2,Disco,825 mm,18 l,1.450 mm,2.070 mm,6,"99,70 mm","24,70 grados",Sachs,Brembo M50,Monobloque radial,Brembo,209 kg,Sachs con Piggy Back,Brembo,,,,,,,,,,,
16,Aprilia,RSV 4 1100 Factory 2019,25.999 €,A,Deportiva,2019,www.aprilia.com,Inyección electrónica con 4 cuerpos de mariposas con 8 inyectores y mando Ride by Wire,Eléctrico,"52,30 mm",Cuatro Tiempos,1.078 cc,Gasolina sin plomo 95/98,"81,00 mm",En V a 65º,DOHC,Electrónico digital,4,4,122 nm,217 cv,Líquida,11.000 rpm,13.200 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena de retenes,Doble viga,Hidraúlico,Aluminio,Doble brazo en aluminio,43 mm,125 mm,Horquilla invertida,120 mm,Monoamortiguador,120/70-17,"3,50-17""",200/55-17,"6-17""",ABS Bosh con asistencia en curva,330 mm,2,4,Disco,220 mm,2,Disco,851 mm,18 l,1.439 mm,2.052 mm,6,"103,80 mm","24,50 grados",Ohlins NIX,Brembo Stylema,Radial,Brembo,199 kg,Ohlins TTX con Piggy-Back,Brembo,,,,,,,,,,,
17,Aprilia,Tuono V4 1100 Factory 2019,18.999 €,A,Deportiva,2019,www.aprilia.com/es_ES,Inyección electrónica,Eléctrico,"52,30 mm",Cuatro tiempos,1.077 cc,Gasolina sin plomo 95/98,"81,00 mm",V4 a 65 grados longitudinal,DOHC Doble arbol de levas,Electrónico,4,4,121 nm,175 cv,Líquida,9.000 rpm,11.000 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Doble viga,Manual con quick shifter electronic system (AQS),Aluminio,Doble brazo de aluminio,43 mm,125 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70-17,"3,5x17",200/55-17,"6,00x17",ABS Bosch 9.1 ajustable con 3 mapas y con asistencia en curva,330 mm,2,4,Disco,220 mm,2,Disco,825 mm,18 l,1.450 mm,2.070 mm,6,"99,70 mm","27,00 grados",Ohlins NIX de gestión electrónica,Brembo M50,Monobloque radial,Brembo,209 kg,Ohlins con Piggy Back y gestión electrónica,Brembo,,,,,,,,,,,
