,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento,URL imágenes,URL logos
0,Aprilia,SR GT 125 2022,3.999 €,A1,Scooter,2022,https://www.aprilia.com/es_ES/,124 cc,15 cv,799 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-sr-gt-125-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
1,Aprilia,Tuono 660 Factory 2022,10.999 €,A,Naked,2022,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono-660-factory.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
2,Aprilia,Tuareg 660 Evocative 2022,12.699 €,A,Trail,2022,https://www.aprilia.com/es_ES/,659 cc,80 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuareg-660-evocative.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
3,Aprilia,Tuareg 660 2022,11.999 €,A,Trail,2022,https://www.aprilia.com/es_ES/,659 cc,80 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuareg-660.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
4,Aprilia,RX 125 2021,3.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,880 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rx-125-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
5,Aprilia,SX 125 2021,3.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,880 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-sx-125-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
6,Aprilia,SXR 50 2021,2.270 €,AM,Scooter,2021,https://www.aprilia.com/es_ES/,50 cc,3 cv,775 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-sxr-50-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
7,Aprilia,RS 125 2021,5.249 €,A1,Deportiva,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rs-125_2021-ft.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
8,Aprilia,Tuono 125 2021,4.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono-125_2021-ft.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
9,Aprilia,Tuono V4 Factory 2021,18.999 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono-v4-factory-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
10,Aprilia,RSV 4 1100 Factory 2021,26.999 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,1.077 cc,217 cv,851 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rsv4-factory-1100-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
11,Aprilia,Tuono 660 A2 2021,10.850 €,A2,Naked,2021,https://www.aprilia.com/es_ES/,659 cc,47 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono-660-2021-a2.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
12,Aprilia,Tuono 660 2021,10.850 €,A,Naked,2021,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono-660-2021-2.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
13,Aprilia,RS 660 A2 2021,11.350 €,A2,Deportiva,2021,https://www.aprilia.com/es_ES/,659 cc,47 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rs-660-a2.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
14,Aprilia,RS 660 2021,11.350 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rs-660-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
15,Aprilia,Tuono V4 1100 RR 2019,16.594 €,A,Deportiva,2019,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-tuono_v4-1100_rr_2019.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
