,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
0,Aprilia,SR GT 125 2022,3.999 €,A1,Scooter,2022,https://www.aprilia.com/es_ES/,124 cc,15 cv,799 mm
1,Aprilia,Tuono 660 Factory 2022,10.999 €,A,Naked,2022,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm
2,Aprilia,Tuareg 660 Evocative 2022,12.699 €,A,Trail,2022,https://www.aprilia.com/es_ES/,659 cc,80 cv,860 mm
3,Aprilia,Tuareg 660 2022,11.999 €,A,Trail,2022,https://www.aprilia.com/es_ES/,659 cc,80 cv,860 mm
4,Aprilia,RX 125 2021,3.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,880 mm
5,Aprilia,SX 125 2021,3.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,880 mm
6,Aprilia,SXR 50 2021,2.270 €,AM,Scooter,2021,https://www.aprilia.com/es_ES/,50 cc,3 cv,775 mm
7,Aprilia,RS 125 2021,5.249 €,A1,Deportiva,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm
8,Aprilia,Tuono 125 2021,4.999 €,A1,Naked,2021,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm
9,Aprilia,Tuono V4 Factory 2021,18.999 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm
10,Aprilia,RSV 4 1100 Factory 2021,26.999 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,1.077 cc,217 cv,851 mm
11,Aprilia,Tuono 660 A2 2021,10.850 €,A2,Naked,2021,https://www.aprilia.com/es_ES/,659 cc,47 cv,820 mm
12,Aprilia,Tuono 660 2021,10.850 €,A,Naked,2021,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm
13,Aprilia,RS 660 A2 2021,11.350 €,A2,Deportiva,2021,https://www.aprilia.com/es_ES/,659 cc,47 cv,820 mm
14,Aprilia,RS 660 2021,11.350 €,A,Deportiva,2021,https://www.aprilia.com/es_ES/,659 cc,100 cv,820 mm
15,Aprilia,Tuono V4 1100 RR 2019,16.594 €,A,Deportiva,2019,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm
16,Aprilia,RSV 4 1100 Factory 2019,25.999 €,A,Deportiva,2019,https://www.aprilia.com/es_ES/,1.078 cc,217 cv,851 mm
17,Aprilia,Tuono V4 1100 Factory 2019,18.999 €,A,Deportiva,2019,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm
18,Aprilia,Tuono V4 Factory,18.499 €,A,Deportiva,2018,https://www.aprilia.com/es_ES/,1.077 cc,175 cv,825 mm
19,Aprilia,RSV4 RF 2018,24.037 €,A,Deportiva,2018,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm
20,Aprilia,Dorsoduro 900 2017,9.599 €,A,Deportiva,2017,https://www.aprilia.com/es_ES/,896 cc,95 cv,870 mm
21,Aprilia,RSV4 RR 2017,20.537 €,A,Deportiva,2017,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm
22,Aprilia,RSV4 RF 2017,24.037 €,A,Deportiva,2017,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm
23,Aprilia,RS 125 2017,5.179 €,A1,Deportiva,2017,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm
24,Aprilia,RS4 125,4.692 €,A1,Deportiva,2016,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm
25,Aprilia,RSV 4 RF,23.900 €,A,Deportiva,2016,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm
26,Aprilia,Caponord 1200,13.899 €,A,Trail,2016,https://www.aprilia.com/es_ES/,1.197 cc,125 cv,840 mm
27,Aprilia,Dorsoduro 1200,13.293 €,A,Trail,2016,https://www.aprilia.com/es_ES/,1.197 cc,130 cv,870 mm
28,Aprilia,Dorsoduro 750,9.843 €,A/A2,Trail,2016,https://www.aprilia.com/es_ES/,749 cc,92 cv,870 mm
29,Aprilia,Mana 850 GT,11.111 €,A/A2,Trail,2016,https://www.aprilia.com/es_ES/,839 cc,76 cv,800 mm
30,Aprilia,Variant Sport 50,1.799 €,AM,Scooter,2016,https://www.aprilia.com/es_ES/,49 cc,4 cv,775 mm
31,Aprilia,Scarabeo 125,3.405 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,14 cv,810 mm
32,Aprilia,Tuono V4 R APRC,16.899 €,A,Naked,2016,https://www.aprilia.com/es_ES/,999 cc,162 cv,840 mm
33,Aprilia,SR Max 125,3.978 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,15 cv,815 mm
34,Aprilia,Shiver 750,7.999 €,A-A2,Naked,2016,https://www.aprilia.com/es_ES/,749 cc,95 cv,800 mm
35,Aprilia,Scarabeo 50,2.247 €,AM,Scooter,2016,https://www.aprilia.com/es_ES/,49 cc,4 cv,780 mm
36,Aprilia,RSV 4 Factory,19.599 €,A,Deportiva,2016,https://www.aprilia.com/es_ES/,999 cc,180 cv,845 mm
37,Aprilia,SRV 850,9.999 €,A,Scooter,2016,https://www.aprilia.com/es_ES/,839 cc,76 cv,780 mm
38,Aprilia,SR Motard 125,2.399 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,9 cv,775 mm
